date,minTemp,maxTemp,precip
1948-01-01,265.95,270.85,nan
1948-01-02,269.05,276.95,22.00
1948-01-03,274.45,277.95,12.90
1948-01-04,271.25,276.95,0.00
1948-01-05,271.05,279.95,0.90
1948-01-06,271.85,276.95,0.00
1948-01-07,271.85,277.95,0.20
1948-01-08,271.25,277.95,2.40
1948-01-09,267.85,272.85,0.00
1948-01-10,267.85,281.05,0.00
1948-01-11,271.25,276.95,0.00
1948-01-12,273.35,277.95,0.40
1948-01-13,273.35,279.95,0.00
1948-01-14,275.45,282.05,2.20
1948-01-15,272.25,278.95,26.20
1948-01-16,270.15,273.85,0.80
1948-01-17,267.05,272.85,0.00
1948-01-18,265.45,272.85,7.50
1948-01-19,269.15,273.85,3.10
1948-01-20,264.95,270.25,11.10
1948-01-21,265.95,272.85,0.00
1948-01-22,261.55,269.85,0.00
1948-01-23,262.85,269.85,0.00
1948-01-24,268.05,281.05,0.00
1948-01-25,273.35,282.05,0.00
1948-01-26,270.15,283.05,0.00
1948-01-27,274.45,287.05,8.10
1948-01-28,274.45,287.05,8.90
1948-01-29,270.15,279.95,1.10
1948-01-30,274.25,281.05,0.00
1948-01-31,274.45,285.05,0.00
1948-02-01,274.45,277.95,4.70
1948-02-02,271.85,282.05,0.00
1948-02-03,273.35,279.95,1.60
1948-02-04,273.85,281.05,0.80
1948-02-05,272.25,278.95,0.00
1948-02-06,269.15,275.95,11.20
1948-02-07,271.25,274.95,13.10
1948-02-08,271.75,275.95,16.70
1948-02-09,274.45,282.05,9.60
1948-02-10,273.35,281.05,3.60
1948-02-11,272.25,274.95,15.90
1948-02-12,272.25,277.95,7.80
1948-02-13,272.25,274.95,0.20
1948-02-14,271.95,274.95,1.40
1948-02-15,272.05,277.95,10.60
1948-02-16,267.05,275.45,9.80
1948-02-17,265.85,271.85,0.70
1948-02-18,264.55,270.85,0.30
1948-02-19,260.35,268.85,0.00
1948-02-20,257.45,266.75,0.00
1948-02-21,262.75,272.85,0.00
1948-02-22,266.95,274.95,1.10
1948-02-23,265.95,271.85,0.00
1948-02-24,264.75,274.95,0.00
1948-02-25,261.85,275.95,0.00
1948-02-26,260.65,276.95,0.00
1948-02-27,264.95,282.05,0.00
1948-02-28,271.15,284.05,0.00
1948-02-29,270.15,285.05,0.00
1948-03-01,270.05,280.85,0.00
1948-03-02,270.55,283.75,0.00
1948-03-03,270.75,284.75,0.00
1948-03-04,271.05,285.65,0.00
1948-03-05,271.85,285.65,0.00
1948-03-06,271.95,286.55,0.00
1948-03-07,272.85,287.55,0.00
1948-03-08,274.65,283.75,1.30
1948-03-09,276.55,281.85,0.00
1948-03-10,275.55,290.35,0.00
1948-03-11,275.55,280.85,0.90
1948-03-12,275.55,278.95,1.20
1948-03-13,274.45,283.75,0.00
1948-03-14,273.65,287.55,0.00
1948-03-15,271.95,287.55,7.60
1948-03-16,276.55,282.85,17.10
1948-03-17,275.55,280.85,20.90
1948-03-18,274.55,287.55,1.60
1948-03-19,275.25,283.75,0.00
1948-03-20,275.35,286.55,0.00
1948-03-21,273.75,291.35,0.00
1948-03-22,275.55,292.25,0.30
1948-03-23,277.55,283.75,0.00
1948-03-24,274.65,284.75,0.00
1948-03-25,271.05,288.45,0.00
1948-03-26,275.45,280.85,0.00
1948-03-27,271.75,285.65,0.00
1948-03-28,270.65,289.45,0.00
1948-03-29,272.45,290.35,0.00
1948-03-30,273.75,291.35,0.00
1948-03-31,278.55,290.35,0.00
1948-04-01,278.55,286.55,15.80
1948-04-02,273.35,282.85,2.20
1948-04-03,272.85,287.55,11.80
1948-04-04,272.85,285.65,0.00
1948-04-05,275.55,288.45,1.10
1948-04-06,273.75,283.75,7.20
1948-04-07,273.55,279.95,0.00
1948-04-08,272.85,289.45,7.60
1948-04-09,274.65,280.85,0.40
1948-04-10,273.75,281.85,0.00
1948-04-11,272.85,288.45,0.00
1948-04-12,272.45,290.35,0.00
1948-04-13,275.55,288.45,0.00
1948-04-14,272.85,291.35,0.00
1948-04-15,277.55,288.45,12.80
1948-04-16,274.65,287.55,0.00
1948-04-17,277.55,292.25,0.00
1948-04-18,279.55,294.15,0.00
1948-04-19,278.55,295.15,0.00
1948-04-20,282.25,292.25,0.00
1948-04-21,278.55,296.15,0.00
1948-04-22,281.65,294.15,0.00
1948-04-23,281.65,294.15,24.70
1948-04-24,280.15,283.15,11.40
1948-04-25,278.05,282.85,10.40
1948-04-26,276.45,286.55,0.00
1948-04-27,273.65,290.35,0.00
1948-04-28,274.65,294.15,0.00
1948-04-29,280.15,291.35,0.00
1948-04-30,281.65,289.45,9.10
1948-05-01,276.55,287.55,0.00
1948-05-02,275.55,290.35,0.00
1948-05-03,282.75,291.35,0.20
1948-05-04,281.65,290.35,0.00
1948-05-05,279.55,293.25,5.40
1948-05-06,282.75,293.25,0.50
1948-05-07,281.65,293.25,0.00
1948-05-08,282.75,295.15,0.00
1948-05-09,280.65,294.15,0.00
1948-05-10,281.65,296.15,0.40
1948-05-11,285.75,296.15,0.00
1948-05-12,281.65,298.05,0.00
1948-05-13,286.75,299.05,0.00
1948-05-14,284.75,296.15,0.00
1948-05-15,283.75,299.05,2.00
1948-05-16,284.75,296.15,0.00
1948-05-17,281.65,298.05,0.00
1948-05-18,283.75,293.25,0.00
1948-05-19,278.55,290.35,0.00
1948-05-20,276.55,293.25,0.00
1948-05-21,278.55,292.25,0.00
1948-05-22,277.55,294.15,0.00
1948-05-23,279.55,295.15,0.00
1948-05-24,281.65,297.05,0.00
1948-05-25,284.35,298.05,1.60
1948-05-26,283.35,298.05,4.50
1948-05-27,282.55,294.15,0.20
1948-05-28,283.75,295.15,1.60
1948-05-29,282.75,295.15,17.30
1948-05-30,279.55,288.45,6.50
1948-05-31,280.65,292.25,0.00
1948-06-01,277.95,294.85,9.80
1948-06-02,279.35,290.35,6.70
1948-06-03,278.95,287.65,15.60
1948-06-04,275.35,284.95,4.40
1948-06-05,279.35,291.25,0.00
1948-06-06,278.35,296.65,0.00
1948-06-07,281.55,297.65,0.00
1948-06-08,283.65,299.55,0.00
1948-06-09,283.65,301.45,0.00
1948-06-10,283.65,300.45,0.00
1948-06-11,285.65,300.45,0.00
1948-06-12,285.65,301.45,0.00
1948-06-13,284.65,299.55,0.00
1948-06-14,284.65,300.45,0.00
1948-06-15,284.45,302.45,0.00
1948-06-16,286.75,296.65,4.80
1948-06-17,284.65,298.55,0.90
1948-06-18,286.55,293.95,15.60
1948-06-19,281.45,286.75,41.40
1948-06-20,279.15,283.05,25.90
1948-06-21,278.35,288.55,0.80
